Round Number,Date,Location,Home Team,Away Team,Group,Result
1,09/04/2021 19:30,"M. A. Chidambaram Stadium, Chennai",Mumbai Indians,Royal Challengers Bangalore,,
1,10/04/2021 19:30,"Wankhede Stadium, Mumbai",Chennai Super Kings,Delhi Capitals,,
1,11/04/2021 19:30,"M. A. Chidambaram Stadium, Chennai",Sunrisers Hyderabad,Kolkata Knight Riders,,
1,12/04/2021 19:30,"Wankhede Stadium, Mumbai",Rajasthan Royals,Punjab Kings,,
1,13/04/2021 19:30,"M. A. Chidambaram Stadium, Chennai",Kolkata Knight Riders,Mumbai Indians,,
1,14/04/2021 19:30,"M. A. Chidambaram Stadium, Chennai",Sunrisers Hyderabad,Royal Challengers Bangalore,,
1,15/04/2021 19:30,"Wankhede Stadium, Mumbai",Rajasthan Royals,Delhi Capitals,,
2,16/04/2021 19:30,"Wankhede Stadium, Mumbai",Punjab Kings,Chennai Super Kings,,
2,17/04/2021 19:30,"M. A. Chidambaram Stadium, Chennai",Mumbai Indians,Sunrisers Hyderabad,,
2,18/04/2021 15:30,"M. A. Chidambaram Stadium, Chennai",Royal Challengers Bangalore,Kolkata Knight Riders,,
2,18/04/2021 19:30,"Wankhede Stadium, Mumbai",Delhi Capitals,Punjab Kings,,
2,19/04/2021 19:30,"Wankhede Stadium, Mumbai",Chennai Super Kings,Rajasthan Royals,,
2,20/04/2021 19:30,"M. A. Chidambaram Stadium, Chennai",Delhi Capitals,Mumbai Indians,,
2,21/04/2021 15:30,"M. A. Chidambaram Stadium, Chennai",Punjab Kings,Sunrisers Hyderabad,,
2,21/04/2021 19:30,"Wankhede Stadium, Mumbai",Kolkata Knight Riders,Chennai Super Kings,,
2,22/04/2021 19:30,"Wankhede Stadium, Mumbai",Royal Challengers Bangalore,Rajasthan Royals,,
3,23/04/2021 19:30,"M. A. Chidambaram Stadium, Chennai",Punjab Kings,Mumbai Indians,,
3,24/04/2021 19:30,"Wankhede Stadium, Mumbai",Rajasthan Royals,Kolkata Knight Riders,,
3,25/04/2021 15:30,"Wankhede Stadium, Mumbai",Chennai Super Kings,Royal Challengers Bangalore,,
3,25/04/2021 19:30,"M. A. Chidambaram Stadium, Chennai",Sunrisers Hyderabad,Delhi Capitals,,
